TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
Snowy Solitude,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, DECIDUOUS, FENCE, SNOW, TREE, TREES, WINTER",1988-01-20
Mountain River,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, FOG, FRAMED, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TOMB_FRAME, TREE, TREES",1988-01-27
Graceful Mountains,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1988-02-03
Windy Waves,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, GRASS, OCEAN, PALM_TREES, WAVES",1988-02-10
On A Clear Day,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, MOUNTAIN, RIVER, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",1988-02-17
Riverside Escape Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, FRAMED, OVAL_FRAME, PATH, RIVER, TREE, TREES",1988-02-24
Surprising Falls,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, WATERFALL",1988-03-02
Shadow Pond,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, TREE, TREES",1988-03-09
Misty Forest Oval,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, FOG, FRAMED, GRASS, OVAL_FRAME, TREE, TREES",1988-03-16
Natural Wonder,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1988-03-23
Splendor Of Winter,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, SNOW, SUN, TREE, TREES, WINTER",1988-04-27
Colors Of Nature,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES",1988-05-04
Grandpa's Barn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, DECIDUOUS, FENCE, GRASS, PATH, STRUCTURE, TREE, TREES",1988-05-11
Peaceful Reflections,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson",,1988-05-18
Hidden Winter Moon Oval,"Black_Gesso, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CIRRUS, CLOUDS, CONIFER, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1988-05-25
Waves Of Wonder,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",1988-06-01
Cabin By The Pond,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, DECIDUOUS, GRASS, LAKE, STRUCTURE, TREE, TREES",1988-06-08
Fall Stream,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES",1988-06-15
Christmas Eve Snow,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1988-06-22
Forest Down Oval,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, FRAMED, GRASS, OVAL_FRAME, PATH, TREE, TREES",1988-06-29
Pathway To Autumn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",1988-07-06
Deep Forest Lake,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, LAKE, ROCKS, TREE, TREES",1988-07-13
Peaks Of Majesty,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1988-07-20
Two Seasons,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, FOG, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1988-08-17
Nestled Cabin,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE, TREES",1988-08-24
Wintertime Discovery,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",1988-08-31
Mountain Mirage Wood Shape,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, FOG, SNOW, TREE, TREES, WINTER",1988-09-07
Double Oval Fantasy,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, DOUBLE_OVAL_FRAME, FRAMED, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1988-09-14
Contemplative Lady,Van_Dyke_Brown,"GUEST, PORTRAIT",1988-09-21
Deep Woods,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, RIVER, ROCKS, TREE, TREES, WATERFALL",1988-09-28
High Tide,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, OCEAN, PALM_TREES, WAVES",1988-10-05
Barn In Snow Oval,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CONIFER, FENCE, FRAMED, OVAL_FRAME, SNOW, STRUCTURE, TREE, TREES, WINTER",1988-10-12
That Time Of Year,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, DECIDUOUS, GUEST, HILLS, LAKE, STEVE_ROSS, TREE, TREES",1988-10-19
Waterfall Wonder,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, RIVER, ROCKS, TREE, TREES, WATERFALL",1988-10-26
Mighty Mountain Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, FLOWERS, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN",1988-11-02
Wooded Stream Oval,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FRAMED, OVAL_FRAME, RIVER, ROCKS, TREE, TREES",1988-11-09
Golden Mist Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, FOG, FRAMED, OVAL_FRAME, RIVER, TREE, TREES",1989-01-04
The Old Home Place,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, FENCE, GRASS, PATH, STRUCTURE, TREE",1989-01-11
Soothing Vista,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1989-01-18
Stormy Seas,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, SUN, WAVES",1989-01-25
Country Time,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, DECIDUOUS, FLOWERS, FRAMED, LAKE, OVAL_FRAME, STRUCTURE, TREE",1989-02-01
A Mild Winter's Day,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, RIVER, SNOW, TREE, TREES, WINTER",1989-02-08
Spectacular Waterfall,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES, WATERFALL",1989-02-15
View From The Park,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","APPLE_FRAME, BRIDGE, BUILDING, DECIDUOUS, FRAMED, LAKE, STRUCTURE, TREE, TREES",1989-02-22
Lake View,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, FLOWERS, GRASS, GUEST, HILLS, LAKE, STEVE_ROSS, TREE, TREES",1989-03-01
Old Country Mill,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, MILL, RIVER, ROCKS, STRUCTURE, TREE, WATERFALL",1989-03-08
Morning Walk,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FOG, PATH, TREE, TREES",1989-03-15
Nature's Splendor,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",1989-03-22
Mountain Beauty,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CUMULUS, FLOWERS, GRASS, GUEST, HILLS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1989-03-29
Half-oval Vignette,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, FRAMED, HALF_OVAL_FRAME, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1989-07-05
Absolutely Autumn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, RIVER, TREE, TREES",1989-07-12
Mountain Seclusion,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, RIVER, SNOW, STRUCTURE, TREE, TREES, WINTER",1989-07-19
Crimson Oval,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, TREE, TREES, WATERFALL",1989-07-26
Autumn Exhibition,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, TREE, TREES",1989-08-02
Majestic Peaks,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1989-08-09
Golden Morning Mist,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FOG, GRASS, RIVER, TREE, TREES",1989-08-16
Winter Lace,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, FRAMED, HALF_CIRCLE_FRAME, LAKE, SNOW, TREE, TREES, WINTER",1989-08-23
Seascape Fantasy,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CIRRUS, CLOUDS, OCEAN, WAVES",1989-08-30
Double Oval Stream,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, FRAMED, RIVER, TREE, TREES",1989-09-06
Enchanted Forest,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, PATH, TREE, TREES",1989-09-13
Southwest Serenity,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CACTUS, CIRRUS, CLOUDS, MOUNTAIN, MOUNTAINS, PATH",1989-09-20
Rippling Waters,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, RIVER, ROCKS, SUN, TREE, TREES, WATERFALL",1989-09-27
Snowfall Magic,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, RIVER, SNOW, TREE, TREES, WINTER",1990-01-03
Quiet Mountain Lake,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, MOUNTAIN, TREE, TREES",1990-01-10
Final Embers Of Sunlight,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FRAMED, OVAL_FRAME, RIVER, SUN, TREE, TREES",1990-01-17
Snowy Morn,"Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, SNOW, STRUCTURE, TREE, TREES, WINTER",1990-01-24
Camper's Haven,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1990-01-31
Waterfall In The Woods,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, ROCKS, TREE, TREES, WATERFALL",1990-02-07
Covered Bridge Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, CONIFER, FENCE, FRAMED, OVAL_FRAME, RIVER, SNOW, STRUCTURE, TREE, TREES, WINTER",1990-02-14
Scenic Seclusion,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, RIVER, TREE, TREES, WATERFALL",1990-02-21
Ebb Tide,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, SUN, WAVES",1990-02-28
After The Rain,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, PATH, TREE, TREES",1990-03-07
Winter Elegance,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CUMULUS, DECIDUOUS, LAKE, ROCKS, SNOW, TREE, TREES, WINTER",1990-03-14
Evening's Peace,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BARN, CONIFER, DECIDUOUS, FENCE, MOON, NIGHT, SNOW, STRUCTURE, TREE, TREES, WINTER",1990-03-21
Valley Of Tranquility,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1990-03-28
Mystic Mountain,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1990-04-04
New Day's Dawn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, CONIFER, FENCE, GRASS, PATH, STRUCTURE, SUN, TREE, TREES",1990-04-11
Winter In Pastel,"Bright_Red, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1990-04-18
Hazy Day,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FOG, FRAMED, OVAL_FRAME, RIVER, ROCKS, TREE, TREES",1990-04-25
Divine Elegance,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1990-05-02
Cliffside,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLIFF, CLOUDS, OCEAN, ROCKS, WAVES",1990-05-09
